cnuhejinwkcnwr	.cnuawaiLur cSwywdwgWm :uzWjwm	m	
urwkcnwr	.urwkcnwr  Wdcawb (3) .urwkcnwr uduh (2) .caehEb (1)	n	
unwhurwkcnwr	.uDnwgiSum ELugcneg  cnwnWg urwkcnwr Wdcawb cnuhIm Wrukcnwkctwa	n	
Wdorwkcnwr	.unwhurwkcnwr (.s)	n	
uLWkcnwr	.eveaenWv urwviCcnia  ed cSwkwDnwgctWg .eveawgcaeawluk iSumuDwm ,iawfiawhwj  caekwtikit egcaerwtcawv iDusik ,uDnwfcSwrwv  ,InWncnuhim .caeycaob egcaetwvWb (.m)	n	
cnuaikcnwr	.cnunub iawLwawDnwk urwvcnim egunwr egInwvWk	m	
inwvurukcnwr	.irukwnwk (.s)	n	
cnulwkEbidukcnwr	.cnulwkEbiduk urwvuDnwgihejcnwr	n	
cnuDnekcnwr	.cnurukufWm cnwr egInevWk	m	
okcnwr	.uLokcnwr (.L)	n	
ilwrokcnwr	.evekehwm  wncnuh cSokcswmiDob .wncnuh iawgiawlukcnwr  cawtubnuLuh Iaim .caetwvWb egIlwrok	n	
uLokcnwr	.evemwnWyik cSwncnuhIm cnibOl :uzWjwm	n	
Wkokcnwr	.WkokEl (.L) (3)  .eveaenefim csevWmIvudet cSwkwailcauk iawfednia  ednISia cniawfwDua cnedcnWvuriawnig uriawncnuh  iawfevwred uDnwgiSwh .caeCcaeaWvIh cnehwncnef  cSwlol WmIvurwvuDobWmcsog cnegeviawhuDnwb (2)  :uzWjwm .caelWkokWdiv egiawlukUdnIrcnwr (1)	n	
cnurubWkokcnwr	.cnunef Wkokcnwr cnitwmOl  WmIvurwvWvitcnWh csogcnegeviawhuDnwb :uzWjwm	m	
cnuailcnurukwacnwr	.cnuruk wgwhWf iawgcaetogwscaWh :uzWjwm	m	
cnuaekurudnwk cniSoliacnwr	.cnuLua cnwdOh caeCcaeauLom wdwfEbilun  :uzWjwm	m	
cnwvcnwr	.Wvcnegivelukea Wywlukcnwr	an	
incnwvcnwr	. "cnwvcnwr"	an	
wlukincnwvcnwr	.caeawlukUdnIr ctWg Wkwywlukcnwr	n	
ilidnwkcnwvcnwr	.eveaenWvud caehwvurIm iawgulumeguhwgea  .caeycaevWlifctwf WLwacaelwm egiawluk UdnIrcnwr	n	
csWduDumcnwvcnwr	.csWduDum wncnuh wlukcnwr	n	
Olcnwvcnwr	.evencnegcSokcaea  WyWyitut Wyolutwr Inwdwhim .Ol egiawlukcnwr	n	
cnudwlwgcnwvcnwr	.eveawgiawlukcnwr  InWncnef WmInuLea ilwa wtwvun WmInuLeawLwd  eguria cSwmudwlwgim .caetwvWb egunudnwa (.s)	n	
Wlcaufcnwmcnwr	.eveawyik csev Wlcauf cnwvcnwr cSwaim  .evekeaWlcauf wncnuh iawfiawhwj ikit egiawlukctwr  iaWkcaituduh Iaim .caetwvWb egWlcauf	n	
unukwmcnwr	.unukwmWv wncnuh iawgiawlukcnwr	n	
cnulItwmcnwr	.eveaInuvelItwmcnwr cnumul cSokufWs cnuhurub  iawlevod cnukwdofcnef cned .eveawfcsiawa wlukcnwr  cSwCcawmegEa InWncnuh cnurEa .eveaInWlcSokunUh  cnunWfilwa Wkcaenwa iawliawkWh iawgItwm egEa  caedofitea cnuhEb wncnuh iawfiawdwh cnwtcaua iruh  cSokikih iawvurwaufoa WtcaWkiSwk iawgEretegEa ,wmwn  caeDnwg cnuyil wtwvun cnuheruk Wvurwaufoa WtcaWk  iSwkWvurwaufoa iawgItwmegEacned .eveawfiawlurwh iawgEa  InWncnuh iDnukcnwr cnuriaea .eveaenWdiawgnih  cnegevcSwmud iawb egiawhwrErid cnuriaea  .eveaenWl cSokunUh iawliawvcaWbItwm cnWfilwa  csevWkcaenwa uhwfcSwmul cSokurwvcaea iawliawkWh  cnukwscaif wDuk cawtiDnuk iruh iawfiawnWg  iawgunwhiDoa cSwLwgnwr iawgIteaWlItwmcnwr  cnuhwfegEa iawlcSokufWsevod cSwLwgnwr iawLwa  csurub urwnOl cnunef eguSoainObiaws ,WtuhObnul  WmIvUhih iawliawvuDnwkoyet cSokcnod cSwLwgnwr  cnunWfilwa itea IvcnWlItwmcnwr uhwfcSwmurukcaea  cnedcnwvuriaiDwg 72 cnegiawLwa cSwkwnwhiDoa  WyiDnuk egunwr umIhWrcbia iaWywhwrErid	m	
cswmcnwr	.cswm wncnuh iawgiawlukcnwr  Wmwdunugnor iawgEret eguhwmwlibuLwk	n	
udUlWmcnwr	.udUlWmcSwr	n	
wbImcnwr	.wdwf cnwr (.db)	an	
ctumcnwr	.ctum egiawlukcnwr wncnuh iawgEret egWtia	n	
cnWrugumcnwr	.cnWrugum Obiheruk (.L)	n	
csWduDumcnwr	.caetwvWb eguhWduDum	n	
ihemcnwr	.ihem wncnuh caeawlukcnwr iawgItwmiSwkirub	n	
unukemcnwr	.caenukem  wncnuh iawgcaeawlukcnwr iawgEret unukemwL	n	
OLwfcnwr	O.Lwf wncnuh iawgiawluk  UdnIr uDnwgiSoturEb csev uriawncnuh cSokwL	n	
cnuliawfcnwr	.cnugnih  cnumwLwaiawf cSwtogWviritcawk cSwtwaed (.s)	m	
wnWfcnwr	.eveaeruh caeSwf wmih egiawlukUn iawguLok egutwfUgin  eguhwm .eveaeruh caekwtikit iduk egiawluk UdnIr  WdcSwkwawluk ugirWn iawguDnwgiSwh iaWlob eguhwm  .eveawlukcnwr Ikwawluk egIm .caetwvWb egiawnWf	n	
iLotifcnwr	.caemuheruk  wncnuh iawfiawLwa iawgurWvcnwk egISumiSwt	n	
uLufcnwr	.caemwnWyik cnibOl ekedcnirwd cniawfwbcniawm  (2) .caemwn Imcswr Wyik cSwncnirwd  Ebil cSwncnulwkEb iLukcsumuDob (1)	n	
iDnwdcnwr	.caeaiLwm ELugcneg cnWvuLwa iawgurwyim  cnuhImWdumwk uLoyekWm (.km) (2) .iDnwd egunwr  EverukIh cSwmwkWvud iawgIDwa egumib (1)	n	
ugwmwyid iDnwdcnwr	.ugnor WrukIh  cSwmwk Wviawfevud iDnwdcnwr iawgIDwaumib	n	
cnuvcaud iDnwdcnwr	.cnuyidumwkuDob  cSwnwtimcnwtea cSokWyiduDnwb :uzWjwm	m	
cnuLeaiDnwdcnwr	.cnudcaeb iLwm iawgulugwn  urwyim .cnuhIm Wdumwk uLoyekWm (.km)	n	
uLufirwdcnwr	.uLufirwd WvibOl emcnea	n	
wLwdcnwr	.wlukcnwr wncnef cnItwmwLwd Wlivctwr	n	
udWvwdcnwr	.csijwn  wncnuh iawfived cSwnwtim cnwtea cSokWyiduDnwb  :uzWjwm (2) .udWvwd egiawlukcnwr (1)	n	
wnWdcnwr	.uLufeg (.db)	n	
cnWdcnwr	.uLufeg Qutwbuawk (.db)	n	
wLumWdcnwr	.Wnehcnwa itIr emcnea cnuSwr (.r)	n	
idcnwr	.caemwnwv Wyik cSwhwmwlibuLwk (2) .caemwn Imcswr  Wyik cSwkwLufEb cnehcnwa Wvwncnwg iawDwvibil  wmwtwruf cnuhwfWlilok cSwkwlwkcswr (1)	n	
cnunidcnwr	.cnunid Wdum WvubijWv cnunid cSwaWhImibnwa  cSwCcawm egWhImirif cnubwbws egInwviawk	m	
Wbnwkidcnwr	.caemwn Ilok Wvcaed  cnutwluawd cSwncnuLufEb cnehcnwa egcnudwr	n	
waidcnwr	.wyidcnwr	n	
cswmidcnwr	.cswm wlibuLwk	n	
wyidcnwr	.cswmwlibuLwk  :uzWjwm (2) .eveawgumeL IneLua cSok ulWmuAitcsia  cswbim cniawnig .caemwnwv Wyik cnibOl  cnegevWtih cSwDob Wkwjcaukcnehcnwa (1)	n	
eyidcnwr	.wyidcnwr (.s)	n	
WlcaWkeyidcnwr	.wlwCcawk (.g)	n	
Wyegurudwmeyidcnwr	.wfis wncnuh iawfikih  cawtiauh uriaikih urwvwyid iawgiawvuria (	g)	
imUdcnwr	.imUd cnod itIr	n	
irwtcnwr	.irwt egiawlukcnwr	n	
ilEfcsWtcnwr	.ilEf Wyiv cSokIrwj iawbudem egIlEf	n	
ilOlcnwr	.iSwtcsia wmih wncnuh iawgiawlukcnwr	n	
uDnwgcnwr	.caehwb ELuaenub cSwaWmid WncnuhIm  cnegev uDob cnwkulUbwq wtwvun cnIbOl :uzWjwm	n	
ugcnwr	.cSoa WLwa iawgulevugcnwr (3) .wlwTcawk (.h)  (2) .eveSwDnwguDnwg wtwvun cSwkufcauf Inwncnuh  im .caeCcaeawBcaWK ELugcneg cnwscawjwluk (1)	n	
iSwbugcnwr	.iSwb egiawlukubnwd	n	
wlwTcawkugcnwr	.eveawgcaeawluk ubnwd uDwm  InWncnuh eretea egIm .caetwvWb egiawlwTcawk	n	
cSoaugcnwr	.cSoa egulevugcnwr	n	
oyevugcnwr	.eveaenWdev  csevurwm caur Wycaifiawrwa cSwkwkur oyevim .evekelev  Edeh cSwywdwg cSwrwv iawgulwv Iaim .eveaenWviduk  cSwrwv ctwf egulevim .eveawlukugcnwr InWncnukin  WmIliawtif cSoa WLwa iawgEa .evencnegiawpcaih ikwh  iawguhwgcswg Inedehoyevim .oyev WLwa cSoaugcnwr	n	
OLwfugcnwr	.eveawgcaeawlukubnwd ctwruDwm  InWncnuh eretea egIm caetwvWb eguloLwf	n	
csWTwfugcnwr	.eveawlWvcaud wlukugcnwr cSwtwa WSwdUm WmIlWscawj  ctwa iawgIm .caerwtcawv egWDnwlifiauh	n	
urEfugcnwr	.eveawgiawlukubnwd  ctwr InWncnuh eretea egIm .caetwvWb egurEf	n	
ctwmuHwrIlugcnwr	.cnwkiretctwmuHwr  Wdcnegiawlif cSwhwvwa (2) .cnwkiretctwmuHwr  egItwmitwm WTcawhwb Wkwkenwa ukwkea (1)	n	
cnulugcnwr	.cnuscaejwluk iawgIteCcaea cnugcnwr	m	
ibOlugcnwr	.ibOl WvcnItwmitwm  (2) .Wtih WvcSwkwLokcswvud wDuk (1)	n	
iregcnwr	.eveaeruh caegnor WLuf  egiawluk UdnIr cSwawmwh WtWrwfcSwd egulol cnegiSef  cnIriawkIrit egiawgnwa .eveawgiawlukuLwk Inwncnuh  itwmctin cnegiSefcnubnut .eveawlukiSumiLwa Ikwawluk  eguhwm .caehwm wDukwgnwa wncnuh cSokWLufcSokitwf	n	
.eveaenWrukuncaeDobcaeairwd ukwNcnwr	.caehwb ELuaenub  iawgudem WncnuhIm caeawb Wscawj WncnuhIm cnehea  cawtcnwk caeawb WvcnWrukWmit wlwhwk WvunirevcSuk  cswyirukun Wmit .evenUnukwywb Wlufuaurwb egumuleb  cniduk IkwncnulwbnwkEbinwr (caehwbulWsim)		
wnWdcnwscnwr	.utuK wt egumwkcswr (.db)	n	
cnwyWscnwr	.ufoa egiawlukcnwr Wl iawgurWvcnwk egISumiSwt	n	
cnurukcnwyWscnwr	.cnulufoa egiawlukcnwr iawgurWvcnwk egISumiSwt	m	
IDcnwr	.Wnehcnwa ELua  eSom WnuhIm cSwyWsiawf iawfiawSwniawyikwvwl	n	
cnurukIzWbIDcnwr	.cnuSom WncnIDcnwr	n	
ilWvwzcnwr	.Wruawnwr (.g)	n	
cnWmwzcnwr	.cnWmwz WviawfWrwairuk cnutog  egumwkihevcSwr iaWmwkcswvwnwt iaWmuhejwmwh	n	
urwr	.Wlividuk (.db)	n	
urwbwr	.eveaeLua  iawdwh itekwtwnig cSwrwv cniaim .caeCcaea wncnuh  ctogEmed WrukurWycawt cnurik eguhwgurwbwr	n	
uLwtokurwbwr	.uLwtok iduk ukiTcsWlup (2)  .uLwtok Itwmctwa ELugcneg cnwruk urWzWb (1)	n	
itofurwbwr	.caeCcaea  wncnuh iawfiawdwh cnurwbwr cSokinut iawhitof	n	
cswgurwbwr	.cswg Egenurik Wdwh urwbwr	n	
uAIbwr	.cnusUm uAIbwr	n	
cnusUmuAIbwr	.urwvcswvud irevuawfua EdOf idehevOr cawtcswg	n	
ulwvcawacluAIbwr	.cswm wnwvcnit egurwhwa Irujih	n	
uriKWacluAIbwr	.cswm wnwvurwtwh egurwhwa Irujih	n	
wDwvwLwr	.ubWsih WhwjuLWr (.s)	n	
eLwr	.uLWr (.g)	n	
oLwr	.uLWr eguDnwk (.N)	n	
oDwvoLwr	.ubWsih Wrwa uLWr cSwmwgcaea  emcnea (2) .cSoduDnog (1) (.s.N)	n	
wkwr	.eveaeruh caegnor egcaeawlukctwruLwk  idwa .eveawgcaeawlukctwr cSokuDob wgnwa  Inwncnuhim .eveaenWvuDob caeLokcnwt eruvcSwjcaOb  cneaim .caemea wncnuh iawgEret egIdOb (.h)	n	
wkwrwkwr	.cawtuDwa Evia wtwvun  ctogEveLuaea uriaELua cnegeviDnob cSwDobWm evcaea  cSwkWtcaea itekwt wdwf cswmudUm iaWNcnUd Ehudua  (2) .cawtuDwa Evia cniawhWv Wkcawd WtogEveLuaea  uriaELua cnegevcaea cSwkwnwt ukwywb wnig (1)	n	
cnuLea wkwrwkwr	.cnudefua cawtuDwa iaWtog EveLua  WmItwgeviDnob cSwDobWm cSwkWtcaea itekwt wdwfcswm  iaWNcnUd (2) .cnudefua cawtuDwa iaWtogEveLuaea  uriaELua cnegevcaea cSwkwnwt ukwywbwnig (1)	m	
cnulwkwrwkwr	.cnuLeawkwrwkwr	m	
cnuhejwkwrwkwr	.cnuLea wkwrwkwr	m	
idObwkwr	.ctwvWb ctwr emcnea egEret egIdOb (.h)	n	
iawkwr	.idObwkwr	n	
umwkwr	.ctwvWb(2) .urwtcawv(1)	n	
Wkwr	.ctwkwn (.db)	n	
ikwr	.urwswa  WvuLWf cnegenwgudwl (2) .cnutwgudwl wncnwgudwl  ihejcswf cnWlitwmiruk WncnuhIm (1)	n	
inihikwr	.inih nEh iawlun Wkwmwk csevcaea	n	
cnurukikwr	.cnudeh ctogenWvwred  enwgudwl cSwrwv EhejcswfcnWlitwmiruk WncnuhIm	m	
cnuTcSokikwr	.cnuvctogwncnwgudwl  WmIlWkcawd wkwhWv cniduk cnehirif  iaWncnIdukcnehcnwa egurwvWyikctih (.s)	m	
cnuvikwr	.cnuvuLWf urwswa egumutwgudwl (2) .cnutwgudwl  ihejcswf cnWlitwmiruk WncnuhIm (1)	m	
uawmikwr	.cswgudwl (2) .Wmudwl (1)	n	
csikwr	.uDohWnwkWm (.b)	n	
uDnobcsikwr	.uDobcnehirif  iteDob wncnuh iawfiawLwfiSwk cnitwmWrudnwk	n	
cnureacsikwr	.cnuhej ilwbETcaev (.n)	m	
ctwAukwr	.cawtctWkwrwH Everuk iawgudWmwn  cSwtogEnemih wdijwsed ,iaWkwAUkur iaWkwmWyiq	n	
iawr	.cnwt wncnuh iawfevUd (3) .uLokidia egumuTcaehefih  (2) .uLokidia egumwkcnWv (1) (.g.s)	n	
cnugeniawr	.cnurukcnWv cSwrwvcaea  iaWkwtiLua cnehea caeaiLua WviawfevUd iawgumuLeaWv  (2) .cnurukcnWviawmwd cSwnwtcnwtwncnuh iawfevUd  WmInuhej iawgIDwa iawfcSokUd unwn (1) (.s)	m	
ilobiawr	.wvwrilob	n	
cnuDekiawr	.cnurukUd (.s)	m	
urwviawr	.eveaeLua iawdwh urwviawr csevcnuhwbwnig  eruvcSwaim cnIrukegIm .evencnuhwbwh iaWncnuhwbcnit  ,Inwncnuh iawfidehim .caetwvWb egumeLihevid	n	
iawburwviawr	.urwviawr umwkuLoyekWm .iawburwviawrInurub  :ulWsim .caeawvuruhwb cneL wncnuhiawfiawl Wvwlukea  cnukwkwtcswb cSwkwtogctWg Wywmwh egurwviawr	n	
ureburwviawr	.urebWhwj cnehenWvwmwh cSwrwviawr	n	
wtErufurwviawr	.WhImwncnwd urwviawrwnig :uzWjwm (3)  .urudea IlWyiK egurwviawr (2) .caeawtEruf IlWyiK  WrukIh cSwmwk EdcSokcswd cnwdwh urwviawr (1)	n	
cawviawr	.uawmutea (.L) (2) .iDnog Whia (1)	n	
cswmireviawr	.cswmirevWr	n	
ulwfiawr	.eveaeruh  csevcawturwtcawv cnUnckiTemoToa ,iaWkwturwtcawv  ckiTemoToa egIDwb egutwvWbim .evencnumerubnea  cSwkwtogikwv InWdcnwzwv Wdcnegemukun cniDwb  cnutogwncnuh iawfiawdwh ,eretea egILohWd cnegemukun  cnwzwv egIDwb egutwvWbim :caetwvWb wBcaWK egIDwb  wncnuh iawfiawdwh cSwtog EveLugcneg iawgItwmctwa	n	
WsIawr	.csIawr cnehcnwa	n	
WycairUhcmujclusIawr	.csIawr egurWkurws IrUhcmuj	n	
csIawr	.Wyirev egWtcnwtwdwf csilijwm ITimok WycaiAcmwj  (2) .Wyirev egumwkirev IrUhcmuj (1)	n	
cnwkcsIawr	.cnwkirev  egWtcnwt wdwf csilijwm ,ITimok ,WycaiAcmwj  (2) .cnwkirevcsia egumwkirev IrUhcmuj (1)	n	
uLuawr	."uLWr"	n	
wlwauawr	.wlwactwr (.s)	n	
ulWmcsuawr	.Wdum  Wviawgukclim egcaetwAWmwj wtwvun ,caedurwf (2)  .Wsiawf ELugcneg cSwmugcnih caeairWfwyiv (1)	n	
uyuawr	.EaWr	n	
WFuawr	.caeLokcnib  egEgurwvus wncnoa iawgudemed WLok urwbcnim  egunWfegElwkea iaWLokeg egWlUswr itirIk	n	
wnihoawr	.inihctwr (.s)	n	
ibcawr	.egnWlwkcswrctWm ivcaerukuDobiawvwdcawh	n	
wkcawr	.uawkcawr (.db)	n	
wDnobwLwkcawr	.wnWfctwr (.s)	n	
uawkcawr	.Wkcawr	n	
cnurukuawkcawr	.ctogWyik  cnuhwbctWm emcnea iaWncnuhwbctWm cSwmuscaiv  (3) .cnuvurof (2) .cnuruk ctwmWlws (1)	m	
cnuvuawkcawr	.ctogWyik  cnuhwbctWm emcnea iaWncnuhwbctWm cSwmuaehiv  (3) .cnulif (2) .cnuvctwmWlws (1)	m	
iretuawkcawr	.ctencaelwkcawrun  (3) .iretctwyWmiH (2) .ctwmWlws (1)	an	
cnwkiretuawkcawr	.cnwkctencaelwkcawrun (3)  .cnwkiretctwyWmiH (2) .cnwkctwmWlws (1)	nan	
cnuviretuawkcawr	.cnutencaelwkcawrun (3)  .cnuviretctwyWmiH (2) .cnuvctwmWlws (1)	m	
cnunwvcSwlwkcawr	.cnunwvcSwSwd egumwkiretuawkcawr	m	
ilwkcawr	.cnuLua ELuaiawlif  csogevud cnegenegudwl cnidukwDuk (.s)	n	
cnuvilwkcawr	.cnuLuaiawlif  csogevud cnegenwg cnudwl cnidukwDuk (.s)	m	
ulwkcawr	.caemwnwvWyik cSwncnunehirif	n	
elwkcawr	.eveaenWncnuh caekcaituLwk iawgcaetWrwf emcnok  eruk cnutWrwfed .caehwmwDuk egiawlukUdnIr (.g)	n	
clwkcawr	.uawkcawr (.N)	n	
Wkcawr	.iLogwncnuh iawfiawhwjWyigwb cSokitwfwrub  iawgutWrwfed cnudem eguDnwgitofcsiCwf (3)  .cnuvurof Wvurof caeCcaea (2) .ctwmWlws (1)	n	
cniawbWkcawr	.urwmwk  IDnog (4) .urwmwk WLwacnutog egumuvurukiretuawkcawr  iawkwTcSwmurukctwmWlws cnukwmulcaeg ukwhIm  (3) .urWm wncnuh iawfiawscawa csenegcnutWrwfed  iawfiawLoa iawgunWgcnuh (2) .urWm wncnuh  iawfiawscawa cSwkcaem cnulud egIlwf (1)	n	
.everutwd WycaibitevWkcawr	.ESELua cnegiawlwbWncsiv (2)  .evencnegiawdOh ugwmenWvctwmWlws InEverukurutwd  (1) (caehwburwh)		
ikcawr	.ikwr (.s)	n	
ekcawr	.iretuawkcawr (.db)	an	
Okcawr	.Wkcawr (.s)	n	
cniawbOkcawr	.cSwfWmwd WSwvcnwtea iawfiawdcnia cswgcswg  wdwf cswgcsurim :ulWsim .uLwvwyif WLwa cnutog  egumwkiretWkcawr iawgumwkcnwk egutWzcaeawb :uzWjwm  (3) .cSwfWvWdcawb iawguDnwgwnua cSokcaeaWkur  uriaWDnwkcauriLug (2) .cSwfWvwncnwb iawgubWsih  WrOfctwa cSokcaeaWjcnwhed uriaWrukcnWvWjcnwh  cSwmuscaeg iawgIrukubnuk Wyir (1) (.s)	n	
iretOkcawr	.iretWkcawr (.s)	an	
inwvWrevcawr	.caemuheruk eguDnwgctwf egulWhuLukuk (.N)	an	
cnumufWlevcawr	.cnuscaoaWlivctwr (.s)	m	
Wlwmcawr	.uLofurwk (.s)	n	
uDumididcawr	.uDum itwdctwr (.s)	n	
udcawr	.cnunidEd cSwkwhImea caeCcaea cnidcnEd  cSwkwhIm ukwhIm (2) .cnurOfWrOf (1)	n	
cnurukudcawr	.cnunid cSwa WhIm Ivcnebil caeCcaeairukulWvwh  cnEd cSwkwhIm ukwhIm (2) .cnurukurOf (1)	m	
uDwaudcawr	.cnuvWvurWrukwt caeDwa (2)  .uDwa wncnwa irubnea iawfihej iawgcaenwt (1)	n	
cnuvudcawr	.cnulehcnutwa  (.s) (3) .cnurukEniz :uzWjwm (2) .cnubil  cSwkwhIm ea caeCcaeacnid cSwkwhIm ukwhIm (1)	m	
cnuliSotcawr	.cnuliSotctwr (.s)	m	
iheTcawr	.irevuluhwaeguSwr (2) .wtirwfeked (1)	an	
cnwkiheTcawr	.cnwkirevuluhwaeguSwr  (2) .cnwkwtirwfeked (1)	nan	
cnuviheTcawr	.cnuvcSwkwairevuluhwa  eguSwr (2) .cnuvwtirwfeked (1)	m	
cnutiycawr	.cnuhIm egcaeSwr wtwvun egcaemuawq	n	
csIlijwm egcnutiycawr	.csIlijwm  WviawfWdcawfua cSwmuawLukcsWf iawdwh unUnWq	n	
wdidegcnutiycawr	.eveauriaWvcawruk  urutwd iawgEret uLotwa cnirevuLotwa IvcauLua  iawvcawruk cnunEb wdid im .caeawdid iruh iawfiawhwj  urukwa egcaeLotwaea cniawlukuduh Wgulwdwb egILwfudnwh  Wferuh cawtwluk cSwtogcaea Wywdid ihevid		
egutiycawr	.eg unuLua iawgcnih  cawtcawtcnwk egcnutiycawr iawguSwrcSwr egEjcaWr	n	
uawpcawr	.iawfwtwr (.g)	n	
wvwr	.cawtuLWridukiduk  wncnuh iawfideh uriaWdcSwyiruk cnegevwlitcniawa  wtwvun uDnwgcswm (3) .cnwtwncnuh  iawfiawLwfwyifcsea (2) .cSwfiriawk egulol (1)	n	
cnutwgiawvwr	.caetogWnub cnuhwburutuh .cSwmuvcnWdumwkuDob	m	
cnuhejwvwr	.cnudefua cawtuLWriduk .wncnuh iawfideh  uriaWdcSwyiruk cnegevwlitcniawa wtwvun uDnwgcswm  (2) .cnudeh "wvwr" iawguniawacswm (1)	m	
Wvwr	.evekeCcaea  WrukcnunEb cnwkcawk IjUs iawgcaetogumcnWA  Im .eveawgiawlukuduh Inwncnuhim .caekwtcauf wncnuh  iawfiawdwh cSwrwv WhcaeSoaiver cnuSufegunwdog	n	
WnWvwr	.cnuail WviawfId wdcauh cSwmuruf	n	
WnIbWvwr	.WhImwdwg WnIfcsea	n	
ctwncnusubItWvwr	.udWmwn ctwncnus  Wruk iawguhwfcsia egudWmwncswf uFurwf	n	
ivwr	.cneLubebWLubwb (2) .idOdivwa (1) (.db)	n	
evwr	.inukwk (.db)	n	
Ovwr	.eveawyik Encniduk Ebitiawfiawk  Ovwr cSwncniduk Ebitiawfihejilwbim .eveaeLuacnObun  urik cnutWg evuDobOb .eveaevuduh wluk  egILwkuLwk iTcauh cnuvuDob .eveawdwhiaor iawlwbitwm  .eveawSwf cneLuaevilwb Wjcauk .cnumuhej Ugwdnua egIm  .caevcted Wnub cSwmwkwncnwgiSof WncnidukwDuk	n	
cnulcSwDohWfiawkOvwr	.caehwb ELuaenub  udemWncnidukEbit iawfevOvwr cSwDobWm :ulWsim		
cnuaekOvwr	.cnuvOvwr	m	
cnuvOvwr	.cnuhej ilwbOvwr	m	
wmwr	.cnuLuaELua cnegeviaut cnegevuDnwr cnegevctWa	n	
cnwmwr	.uLokiSwtcsia wncnuh evuncnWmoa uriaWlWbOb (2)  .wlim wncnuh iawfiawlctwt iawgumwh egulob (1)	n	
cnugencnwmwr	.cnuvwred WhIm  ELua cnegideh WmIawa ukwhImuLom cSokineLua cnegideh  cSwkwhIm uLomWm ukwhIm :uzWjwm (2) .evencnehim  Inwyik csevcSwmuaid cnurib WmInunef caeCcaeawdwg  eruvcSwaea urWvwnwj csevcnehea .cnulufua  uLokctwf wncnuh iawgutwhwf egItofoyek .uawh Wvilwb  cnegiawLwt Whed wtwvun cnegenwgurib (1)	m	
ilOfcnwmwrcnwmwr	.eveycaOf cnwmwrcnwmwr Iaea .eveaenWviawbun  Wjcauk unuvelctwa ea wmwnejcaivelctwa  iawgiawg egcaejcauk iruh iawgurEb cnilOgum  Wjcauk Wviawfednwbunwk .eveaenWvud cSwycaOgum  caenwa cnilOgum caea cnIduk cnegev cnEhejunutwa  egWnEa uriaWgnih cSwycaOgum caenwa cnilOgum  caea iawfWyik Ehiawbok ilOfcnwmwrcnwmwr Wjcaukea  .eveawfednwbunwk cnukwLokitof inut InWncnuh  Wjcauk wncnuh iawgIlOgum udem .eveSwkwdwdwA  ibit cniduk InWLwa cawtilOgumim .eveSwtog wncnuh  cawtilOgum cnehea cnegiawSwv egEa iawLwa ilOgum  caea iawgudem Inwncnuh cawtilOgum iawgurwviLukim  .caerwviLuk ELuk cnegiawLwa ilOgum cnidukwDuk	n	
Obcnwmwr	.Ob wncnuh evun cnWmoa cSwLwgnwr	n	
cnuhekcnwmwr	.cnuruk cnWmoa Whwk wlim cnutwfwruk iawfWlWbOb	m	
iDikwkwmwr	.inukwk iluhiluh (2) .inukwkctwr (1) (.s)	n	
cnuvwmwr	.cnuLua cnegeviaut cnegevuDnwr cnegevctWa	m	
udwmwr	.WgOr ulol	n	
cnuhejudwmwr	.cnuhej WgOrulol	m	
wtwmwr	.cnuscaejwmwh Wscawjwmwh .n (4) .iritiawm  (3) .iretcnwmwyik (2) .cnEmih (1)	an	
cnwkwtwmwr	.cnwkEhejwmwh (4) .cnwkiritiawm (3)  .cnwkiretcnwmwyik (2) .cnwkcnEmih (1)	nan	
cnurukwtwmwr	.cnurukcnEmih (4) .cnurukiritiawm  (3) .cnurukcnwmwyik (2) .cnuscaejwmwh (1)	m	
cnuvwtwmwr	.cnuvcnEmih (4) .cnuviritiawm  (3) .cnuviretcnwmwyik (2) cnuhejwmwh (1)	m	
imuridilwmwr	.inUdcswa (.db)	n	
ulwmwr	.ulWf  (2) .umcliA WnubcSwmwk WdOh cawtcnwkWviawgubiawG  cnegiawhwruk caekwtugnor (1)	n	
cnuhej ulwmwr	.cnuruk ubWsih egulwmwr	m	
cnulebulwmwr	.cnuhejulwmwr	m	
cnirevulwmwr	.cnuhImWlwbulwmwr	n	
cnWFwmwr	.cswmwnwvwvun  egurwDcnwlwk Irujih (2) .cswmwdOr (1)	n	
wnumwr	.wnwrum (.a)	an	
WnEmcnWzcmwr	.caeawvwl uDob iruhcnwn egurebiDnwd	n	
uzcmwr	.cnWxin (4) .wgwhWf  (3) .cawturukwa wtwvun urukwa wncnuh iawfiawhwj  iawgulwdwb egumwn (2) .ctWrWxia (1)	n	
cnurukuzcmwr	.cnuhejcnWxin (4) .cnuruk wgwhWf (3)  .cnuhej cawturukwa wtwvun urukwa wncnuh iawfiawhwj  iawgulwdwb egumwn (2) .cnurukctwrWxia (1)	m	
wfwr	.iTcawliduk (.a)	n	
wfwrwfwr	.uDwaEvia  uriaWd cnegiTcaev cnwtcnwtwdwf egurwh iaWaegEg  (2) .uDwaEvia uriaWdcnegiLea cSwkwnwt Wrwhwfcaea  caekwturwd wlwf wtwvun caekwtiDukwl (1)	n	
cnuLeawfwrwfwr	.cnuviauDwa eg "wfwrwfwr"	m	
cnulwfwrwfwr	.cnuLea wfwrwfwr	m	
Wfwr	.wfwr (.a)	n	
